year,combinatorics,game_theory,geometry,grid_puzzle,number_theory,probability,sudoku_variant,unknown,visual_puzzle,word_puzzle,total
2015,1,1,0,3,0,1,0,4,0,1,11
2016,1,0,1,3,0,2,0,5,0,0,12
2017,0,1,0,4,1,0,0,5,0,1,12
2018,1,0,0,8,0,1,1,0,0,1,12
2019,0,0,2,7,0,0,1,0,0,2,12
2020,2,1,1,2,2,1,0,0,0,1,10
2021,0,5,0,3,1,2,0,1,0,0,12
2022,1,1,0,5,0,1,0,1,0,3,12
2023,0,1,1,6,2,0,0,0,1,1,12
2024,1,1,2,4,0,0,0,0,2,2,12
2025,0,2,0,4,0,2,1,0,2,1,12
2026,0,0,0,0,0,0,0,1,0,0,1
TOTAL,7,13,7,49,6,10,3,17,5,13,130
